,startTime,startSample,endTime,endSample,duration,halfSlopetoFirstPeakSample,halfSlopetoFirstPeakTime,halfSlopetoFirstPeak_Amp,halfSlopefromLastPeakSample,halfSlopefromLastPeakTime,halfSlopefromLastPeak_Amp,start_Amp,end_Amp,maxPeak_Amp,maxPeakSample,maxPeakTime,n_peaks,meanAmp,AmpUp_maxPeak,subnet,subnet_size,subnet_anchor
0,1450.0,44,1740.0,73,290.0,53,1540.0,-0.03754118444049476,66,1670.0,0.05803337327314907,-0.31521958978572295,-0.12407047435843531,0.24013722090473347,60,1610.0,1,0.24013722090473347,0.5553568106904564,A,0.1,0.0
1,1740.0,73,2310.0,130,570.0,83,1840.0,0.3674309244961459,104,2050.0,0.37486126705103506,-0.12407047435843531,-0.10920978924865692,0.8589323233507271,91,1920.0,1,0.8589323233507271,0.9830027977091624,A,0.1,0.0
2,2860.0,185,5670.0,265,2810.0,196,2970.0,-0.7253113342675654,247,5490.0,1.061670247188585,-1.861471778423628,-1.1589511163932986,3.2822916107704687,231,5330.0,2,1.846570360329483,5.143763389194097,A,0.1,0.0
3,5940.0,292,6320.0,330,380.0,301,6030.0,-0.6884191614191251,319,6210.0,-0.8320724335352122,-1.407450527003303,-1.6947570712354774,0.030612204165052948,309,6110.0,1,0.030612204165052948,1.438062731168356,A,0.1,0.0
4,6320.0,330,6950.0,393,630.0,343,6450.0,0.1817749680821088,368,6700.0,0.9759528904341294,-1.6947570712354774,-0.10640122653143633,2.058307007399695,355,6570.0,1,2.058307007399695,3.7530640786351723,A,0.1,0.0
5,6950.0,393,7240.0,422,290.0,399,7010.0,0.01851785312296747,414,7160.0,-0.3256503453125015,-0.10640122653143633,-0.7947376234023742,0.14343693277737127,406,7080.0,1,0.14343693277737127,0.2498381593088076,A,0.1,0.0
6,7240.0,422,7840.0,482,600.0,432,7340.0,-0.3211033248237144,463,7650.0,-0.3894361426580677,-0.7947376234023742,-0.9314032590710809,0.15253097375494543,445,7470.0,1,0.15253097375494543,0.9472685971573196,A,0.1,0.0
7,7840.0,482,8560.0,554,720.0,495,7970.0,0.5923024293666209,521,8230.0,0.4008012620824686,-0.9314032590710809,-1.3144055936393855,2.1160081178043226,507,8090.0,1,2.1160081178043226,3.0474113768754036,A,0.1,0.0
8,8810.0,579,9390.0,637,580.0,590,8920.0,0.28170245283849615,621,9230.0,1.1448225395696996,-2.684419499619126,-0.9581793261567189,3.247824405296118,600,9020.0,1,3.247824405296118,5.932243904915245,A,0.1,0.0
9,9390.0,637,9770.0,675,380.0,647,9490.0,-0.4199973230599475,665,9670.0,-0.5784624063715736,-0.9581793261567189,-1.275109492779971,0.11818468003682377,656,9580.0,1,0.11818468003682377,1.0763640061935427,A,0.1,0.0
10,9770.0,675,10010.0,699,240.0,683,9850.0,-0.6051316885803231,694,9960.0,-0.004904937892217964,-1.275109492779971,-0.07465599140376078,0.06484611561932485,691,9930.0,1,0.06484611561932485,1.339955608399296,A,0.1,0.0
11,10010.0,699,10250.0,723,240.0,704,10060.0,0.05286086406704396,716,10180.0,-0.4882614484144051,-0.07465599140376078,-1.1569006163666589,0.1803777195378487,709,10110.0,1,0.1803777195378487,0.2550337109416095,A,0.1,0.0
12,10250.0,723,10540.0,752,290.0,731,10330.0,-0.021028044703279125,745,10470.0,0.48204774600323025,-1.1569006163666589,-0.15074903495364017,1.1148445269601006,739,10410.0,1,1.1148445269601006,2.2717451433267595,A,0.1,0.0
13,10540.0,752,10780.0,776,240.0,758,10600.0,0.06176559398659612,769,10710.0,-0.4564721109093587,-0.15074903495364017,-1.1872244447455498,0.2742802229268324,762,10640.0,1,0.2742802229268324,0.4250292578804726,A,0.1,0.0
14,10780.0,776,11360.0,834,580.0,785,10870.0,0.5001801173417717,825,11270.0,-0.26407412705839384,-1.1872244447455498,-0.7476718353309779,2.187584679429093,794,10960.0,2,1.2035541303216417,3.374809124174643,A,0.1,0.0
15,11360.0,834,11700.0,868,340.0,841,11430.0,-0.3529519673207645,857,11590.0,-0.3735551465044702,-0.7476718353309779,-0.7888781936983893,0.041767900689448856,849,11510.0,1,0.041767900689448856,0.7894397360204268,A,0.1,0.0
16,11970.0,895,12870.0,985,900.0,905,12070.0,-0.38413116186237894,961,12630.0,0.7266874848393413,-1.374274130087197,-0.6633083594197536,2.116683329098436,948,12500.0,2,1.3613475677304376,3.4909574591856334,A,0.1,0.0
17,13480.0,1046,14080.0,1106,600.0,1058,13600.0,0.4063842138819225,1089,13910.0,1.2618858616418203,-2.4364416890264544,-0.7254383935066586,3.249210116790299,1069,13710.0,1,3.249210116790299,5.685651805816754,A,0.1,0.0
18,14080.0,1106,14640.0,1162,560.0,1115,14170.0,-0.2380817433476451,1138,14400.0,-0.4410623075163199,-0.7254383935066586,-1.1313995218440083,0.2492749068113685,1124,14260.0,1,0.2492749068113685,0.974713300318027,A,0.1,0.0
19,14860.0,1184,15570.0,1255,710.0,1198,15000.0,0.708346643435789,1229,15310.0,0.9478216466597568,-1.3416344197213366,-0.8626844132734007,2.7583277065929144,1208,15100.0,1,2.7583277065929144,4.099962126314251,A,0.1,0.0
20,15800.0,1278,16190.0,1317,390.0,1289,15910.0,-0.41168207351238384,1306,16080.0,0.05722950111889835,-1.7775220997883512,-0.8396989505257868,0.9541579527635835,1298,16000.0,1,0.9541579527635835,2.7316800525519347,A,0.1,0.0
