,startTime,startSample,endTime,endSample,duration,halfSlopetoFirstPeakSample,halfSlopetoFirstPeakTime,halfSlopetoFirstPeak_Amp,halfSlopefromLastPeakSample,halfSlopefromLastPeakTime,halfSlopefromLastPeak_Amp,start_Amp,end_Amp,maxPeak_Amp,maxPeakSample,maxPeakTime,n_peaks,meanAmp,AmpUp_maxPeak,subnet,subnet_size,subnet_anchor
0,2690.0,18,3010.0,50,320.0,26,2770.0,0.047700767920159454,41,2920.0,0.06062771241673642,-0.15002991487377007,-0.1241760258806161,0.24543145071408895,33,2840.0,1,0.24543145071408895,0.39546136558785905,A,0.1,0.0
1,3210.0,70,3740.0,123,530.0,79,3300.0,-0.033809802525154475,115,3660.0,0.040425373997152445,-0.2996610552328371,-0.1145179615589325,0.23204145018252811,87,3380.0,2,0.21370507986788273,0.5317025054153652,A,0.1,0.0
2,3920.0,141,4220.0,171,300.0,149,4000.0,0.0045444289358141515,163,4140.0,-0.009433531971291848,-0.12221646423179926,-0.15017238604601127,0.13130532210342755,156,4070.0,1,0.13130532210342755,0.2535217863352268,A,0.1,0.0
3,4220.0,171,4840.0,233,620.0,190,4410.0,0.007691644386736113,220,4710.0,-0.008527507488362895,-0.15017238604601127,-0.18261068979620926,0.16555567481948347,202,4530.0,1,0.16555567481948347,0.31572806086549476,A,0.1,0.0
4,4840.0,233,5160.0,265,320.0,242,4930.0,0.027956371017051618,257,5080.0,0.05365000379252133,-0.18261068979620926,-0.1312234242452699,0.23852343183031252,250,5010.0,1,0.23852343183031252,0.42113412162652175,A,0.1,0.0
5,5160.0,265,5450.0,294,290.0,273,5240.0,0.036983983071630894,286,5370.0,-0.009302500982960399,-0.1312234242452699,-0.2237963923544525,0.20519139038853168,279,5300.0,1,0.20519139038853168,0.3364148146338016,A,0.1,0.0
6,5450.0,294,5740.0,323,290.0,301,5520.0,-0.051052132487619944,314,5650.0,-0.13727231291120873,-0.2237963923544525,-0.39623675320163004,0.12169212737921262,307,5580.0,1,0.12169212737921262,0.3454885197336651,A,0.1,0.0
7,5740.0,323,6350.0,384,610.0,335,5860.0,-0.018599521071961944,371,6220.0,0.01717116041046618,-0.39623675320163004,-0.3246953902367738,0.35903771105770615,358,6090.0,1,0.35903771105770615,0.7552744642593362,A,0.1,0.0
8,6350.0,384,6870.0,436,520.0,397,6480.0,-0.07460723841991307,422,6730.0,-0.013012377945861742,-0.3246953902367738,-0.20150566928867109,0.1754809133969476,408,6590.0,1,0.1754809133969476,0.5001763036337215,A,0.1,0.0
9,6870.0,436,7180.0,467,310.0,444,6950.0,-0.0317465147365486,458,7090.0,-0.008785689398078556,-0.20150566928867109,-0.155584018611731,0.1380126398155739,451,7020.0,1,0.1380126398155739,0.33951830910424496,A,0.1,0.0
10,7180.0,467,7790.0,528,610.0,485,7360.0,0.11079319126691944,512,7630.0,-0.007400816309795111,-0.155584018611731,-0.3919720337651601,0.3771704011455699,497,7480.0,1,0.3771704011455699,0.5327544197573009,A,0.1,0.0
11,7790.0,528,8850.0,634,1060.0,547,7980.0,-0.08105480864186182,616,8670.0,-0.05019465251449835,-0.3919720337651601,-0.15864187302865215,0.22986241648143643,575,8260.0,2,0.14405749224054595,0.6218344502465966,A,0.1,0.0
12,9010.0,650,9590.0,708,580.0,661,9120.0,0.022429504835678266,699,9500.0,-0.08267303331602417,-0.13650589295724314,-0.1860312566323951,0.18136490262859967,670,9210.0,2,0.1010250463144732,0.3178707955858428,A,0.1,0.0
13,9590.0,708,10380.0,787,790.0,721,9720.0,0.04456609202488018,772,10230.0,-0.10935044917210018,-0.1860312566323951,-0.28783682735568245,0.2751634406821554,735,9860.0,2,0.17214968484681875,0.46119469731455054,A,0.1,0.0
14,10440.0,793,10800.0,829,360.0,806,10570.0,-0.03420358761126813,821,10720.0,0.028245889025526327,-0.29160588143487437,-0.16670692816128546,0.22319870621233812,814,10650.0,1,0.22319870621233812,0.5148045876472125,A,0.1,0.0
15,10800.0,829,11440.0,893,640.0,837,10880.0,0.03377003093615055,880,11310.0,-0.033656717705352834,-0.16670692816128546,-0.36688169808530047,0.29956826267459474,865,11160.0,2,0.26690762635409065,0.4662751908358802,A,0.1,0.0
16,11440.0,893,11810.0,930,370.0,903,11540.0,-0.04921993721871515,920,11710.0,-0.13149951152078343,-0.36688169808530047,-0.531440846689437,0.26844182364787017,911,11620.0,1,0.26844182364787017,0.6353235217331706,A,0.1,0.0
17,11810.0,930,12530.0,1002,720.0,941,11920.0,-0.11684687309567554,990,12410.0,0.07900286158766315,-0.531440846689437,-0.13974137732275974,0.297747100498086,970,12210.0,1,0.297747100498086,0.829187947187523,A,0.1,0.0
18,12530.0,1002,12830.0,1032,300.0,1010,12610.0,0.028908236966191575,1023,12740.0,0.01139756976634318,-0.13974137732275974,-0.17476271172245653,0.1975578512551429,1016,12670.0,1,0.1975578512551429,0.3372992285779026,A,0.1,0.0
19,13000.0,1049,13280.0,1077,280.0,1057,13080.0,-0.04760108438801705,1069,13200.0,-0.07122112757666327,-0.25833945376651063,-0.30557954014380306,0.16313728499047653,1063,13140.0,1,0.16313728499047653,0.42147673875698716,A,0.1,0.0
