,startTime,startSample,endTime,endSample,duration,halfSlopetoFirstPeakSample,halfSlopetoFirstPeakTime,halfSlopetoFirstPeak_Amp,halfSlopefromLastPeakSample,halfSlopefromLastPeakTime,halfSlopefromLastPeak_Amp,start_Amp,end_Amp,maxPeak_Amp,maxPeakSample,maxPeakTime,n_peaks,meanAmp,AmpUp_maxPeak,subnet,subnet_size,subnet_anchor
0,1720.0,21,2150.0,64,430.0,30,1810.0,-0.07410040423770692,56,2070.0,0.010719649971905734,-0.2610653159845845,-0.09142520756535917,0.11286450750917063,39,1900.0,1,0.11286450750917063,0.37392982349375514,A,0.1,0.0
1,2150.0,64,2500.0,99,350.0,74,2250.0,0.003500023415333134,90,2410.0,-0.25085233308862076,-0.09142520756535917,-0.600129920573267,0.09842525439602545,80,2310.0,1,0.09842525439602545,0.1898504619613846,A,0.1,0.0
2,2500.0,99,2840.0,133,340.0,110,2610.0,-0.020244636787820514,125,2760.0,0.06887622713585795,-0.600129920573267,-0.42188819272591016,0.5596406469976261,118,2690.0,1,0.5596406469976261,1.159770567570893,A,0.1,0.0
3,2840.0,133,3180.0,167,340.0,142,2930.0,0.21678056360510078,157,3080.0,0.20299483813874802,-0.42188819272591016,-0.4494596436586156,0.8554493199361117,149,3000.0,1,0.8554493199361117,1.277337512662022,A,0.1,0.0
4,3180.0,167,4590.0,207,1410.0,176,3270.0,0.05786599825198252,195,3460.0,0.01612221038848982,-0.4494596436586156,-0.532947219385601,0.5651916401625806,185,3360.0,1,0.5651916401625806,1.0146512838211963,A,0.1,0.0
5,4590.0,207,5060.0,254,470.0,219,4710.0,-0.17761560846851943,246,4980.0,-0.016506814153996296,-0.532947219385601,-0.21072963075655474,0.17771600244856214,238,4900.0,1,0.17771600244856214,0.7106632218341631,A,0.1,0.0
6,5060.0,254,5440.0,292,380.0,263,5150.0,-0.03414221519941771,281,5330.0,-0.2574334727959217,-0.21072963075655474,-0.6573121459495628,0.14244520035771935,270,5220.0,1,0.14244520035771935,0.35317483111427406,A,0.1,0.0
7,5440.0,292,5850.0,333,410.0,306,5580.0,0.1482526878154572,324,5760.0,0.1605908730744121,-0.6573121459495628,-0.632635775431653,0.9538175215804772,315,5670.0,1,0.9538175215804772,1.61112966753004,A,0.1,0.0
8,5850.0,333,6160.0,364,310.0,342,5940.0,-0.03618506173951275,356,6080.0,-0.009269050435766979,-0.632635775431653,-0.5788037528241615,0.5602656519526276,349,6010.0,1,0.5602656519526276,1.1929014273842804,A,0.1,0.0
9,6160.0,364,7690.0,416,1530.0,374,6260.0,0.18986026784983956,392,6440.0,0.26092233139085463,-0.5788037528241615,-0.43667962574213137,0.9585242885238406,382,6340.0,1,0.9585242885238406,1.5373280413480022,A,0.1,0.0
10,7690.0,416,7990.0,446,300.0,426,7790.0,-0.188390448480278,440,7930.0,0.0033928162116217964,-0.43667962574213137,-0.053113096358331766,0.059898728781575365,435,7880.0,1,0.059898728781575365,0.49657835452370674,A,0.1,0.0
11,7990.0,446,8260.0,473,270.0,452,8050.0,0.007417369420287652,464,8170.0,-0.08505757389766033,-0.053113096358331766,-0.23806298299422773,0.06794783519890707,457,8100.0,1,0.06794783519890707,0.12106093155723884,A,0.1,0.0
12,8490.0,496,8840.0,531,350.0,506,8590.0,0.10907158428791885,522,8750.0,0.16530071906048605,-0.6189021079703252,-0.5064438384251908,0.8370452765461629,514,8670.0,1,0.8370452765461629,1.455947384516488,A,0.1,0.0
13,8840.0,531,9170.0,564,330.0,540,8930.0,0.15527678305530723,555,9080.0,0.1771072766868521,-0.5064438384251908,-0.46278285116210094,0.8169974045358053,548,9010.0,1,0.8169974045358053,1.323441242960996,A,0.1,0.0
14,9170.0,564,10540.0,600,1370.0,573,9260.0,0.15780534997008577,589,9420.0,0.22227802500057448,-0.46278285116210094,-0.3338375011011234,0.7783935511022725,581,9340.0,1,0.7783935511022725,1.2411764022643734,A,0.1,0.0
15,10900.0,636,11170.0,663,270.0,645,10990.0,-0.05941840934663259,656,11100.0,0.03768987601173506,-0.20526751533341855,-0.011050944616683274,0.0864306966401534,652,11060.0,1,0.0864306966401534,0.29169821197357193,A,0.1,0.0
