,startTime,startSample,endTime,endSample,duration,halfSlopetoFirstPeakSample,halfSlopetoFirstPeakTime,halfSlopetoFirstPeak_Amp,halfSlopefromLastPeakSample,halfSlopefromLastPeakTime,halfSlopefromLastPeak_Amp,start_Amp,end_Amp,maxPeak_Amp,maxPeakSample,maxPeakTime,n_peaks,meanAmp,AmpUp_maxPeak,subnet,subnet_size,subnet_anchor
0,3692.0,191,3946.0,445,254.0,248,3749.0,0.034879538724557395,376,3877.0,0.015961297526849688,-0.05272844517772247,-0.09056492757313787,0.12248752262683725,315,3816.0,1,0.12248752262683725,0.17521596780455972,A,0.1,0.0
1,3946.0,445,4403.0,902,457.0,519,4020.0,0.006173489493060638,801,4302.0,-0.19700659947595306,-0.09056492757313787,-0.5009151102252429,0.10690191127333679,620,4121.0,2,0.10490690891629798,0.19746683884647465,A,0.1,0.0
2,4403.0,902,4854.0,1353,451.0,1033,4534.0,0.10222502132759304,1258,4759.0,0.06785732375167741,-0.5009151102252429,-0.5696505053770741,0.705365152880429,1155,4656.0,1,0.705365152880429,1.206280263105672,A,0.1,0.0
3,4854.0,1353,5170.0,1669,316.0,1431,4932.0,-0.03631916073385022,1590,5091.0,-0.13548703928600647,-0.5696505053770741,-0.7679862624813866,0.49701218390937363,1509,5010.0,1,0.49701218390937363,1.0666626892864477,A,0.1,0.0
0,3615.0,114,3945.0,444,330.0,195,3696.0,-0.2534370705152417,365,3866.0,-0.24275285472489877,-0.5263400019460369,-0.504971570365351,0.01946586091555343,284,3785.0,1,0.01946586091555343,0.5458058628615904,A_bis,0.1,0.5
1,3945.0,444,4511.0,1010,566.0,537,4038.0,-0.09569889624356132,950,4451.0,-0.03365323500192936,-0.504971570365351,-0.09344815964789537,0.3135737778782283,648,4149.0,3,0.12149244339368977,0.8185453482435794,A_bis,0.1,0.5
2,4511.0,1010,4826.0,1325,315.0,1091,4592.0,0.22097515644109078,1244,4745.0,0.0035490028530190676,-0.09344815964789537,-0.5283004668240389,0.535398472530077,1162,4663.0,1,0.535398472530077,0.6288466321779723,A_bis,0.1,0.5
3,4826.0,1325,5154.0,1653,328.0,1403,4904.0,0.07094070827850107,1566,5067.0,-0.10386482857020374,-0.5283004668240389,-0.8779115405214486,0.6701818833810411,1480,4981.0,1,0.6701818833810411,1.1984823502050799,A_bis,0.1,0.5
0,3898.0,397,4215.0,714,317.0,497,3998.0,-0.0878678128124247,644,4145.0,-0.017335355240753407,-0.2079534069345049,-0.0668884917911623,0.03221778130965548,582,4083.0,1,0.03221778130965548,0.2401711882441604,B,0.2,0.0
1,4420.0,919,4968.0,1467,548.0,1046,4547.0,0.09798055841655712,1376,4877.0,0.1364733517850127,-0.1580749238885129,-0.08108933715160177,0.35403604072162714,1287,4788.0,1,0.35403604072162714,0.51211096461014,B,0.2,0.0
2,4968.0,1467,5323.0,1822,355.0,1535,5036.0,-0.03203006231013454,1714,5215.0,-0.11078485265646243,-0.08108933715160177,-0.23859891784425755,0.01702921253133268,1597,5098.0,1,0.01702921253133268,0.09811854968293446,B,0.2,0.0
0,3955.0,454,4335.0,834,380.0,545,4046.0,-0.09087724368742306,728,4229.0,-0.0180068616761154,-0.356414802162157,-0.21067403813954175,0.17466031478731092,646,4147.0,1,0.17466031478731092,0.5310751169494679,B_bis,0.2,0.5
1,4335.0,834,4921.0,1420,586.0,1119,4620.0,0.14417267801051423,1326,4827.0,0.16319503566017232,-0.21067403813954175,-0.17262932284022556,0.4990193941605702,1233,4734.0,1,0.4990193941605702,0.709693432300112,B_bis,0.2,0.5
2,4921.0,1420,5241.0,1740,320.0,1492,4993.0,-0.00101833529376813,1651,5152.0,-0.05653218482933545,-0.17262932284022556,-0.28365702191136016,0.17059265225268927,1565,5066.0,1,0.17059265225268927,0.34322197509291485,B_bis,0.2,0.5
0,4404.0,903,4778.0,1277,374.0,1018,4519.0,0.10666984992544845,1193,4694.0,0.12804453707052135,-0.09853634317680707,-0.055786968886661265,0.31187604302770394,1109,4610.0,1,0.31187604302770394,0.41041238620451104,C,0.3,0.0
1,4778.0,1277,5091.0,1590,313.0,1357,4858.0,0.06714507138431601,1507,5008.0,-0.0327634306041891,-0.055786968886661265,-0.2556039728636715,0.19007711165529328,1424,4925.0,1,0.19007711165529328,0.24586408054195455,C,0.3,0.0
