,anchor,area,beta,beta_rel,delta,delta_rel,low_delta,low_delta_rel,size,subnet,g_peak_AMPA_Vp_PC_Vp_BC
0,0.0,Vp,0.22285044193267822,0.11943898350000381,0.910386323928833,0.48793089389801025,0.708346426486969,0.37964555621147156,0.1,A,0.95
1,0.5,Vp,0.23072278499603271,0.11714733392000198,1.0579674243927002,0.5371730327606201,0.8435873985290527,0.4283235967159271,0.1,A_bis,0.95
2,0.0,Vp,0.15306338667869568,0.12371743470430374,0.6363764405250549,0.5143676996231079,0.5258945226669312,0.42506781220436096,0.2,B,0.95
3,0.5,Vp,0.17066365480422974,0.11200657486915588,0.870152473449707,0.5710811614990234,0.7112389802932739,0.4667862057685852,0.2,B_bis,0.95
4,0.15,Vp,0.1602676510810852,0.15311917662620544,0.49017390608787537,0.46831050515174866,0.3992384374141693,0.38143107295036316,0.2,B_ter,0.95
5,0.65,Vp,0.17716866731643677,0.10270082205533981,1.0383187532424927,0.6018908023834229,0.8902488350868225,0.5160579085350037,0.2,B_four,0.95
6,0.0,Vp,0.12500526010990143,0.1464148312807083,0.4237630367279053,0.49634063243865967,0.35619592666625977,0.41720137000083923,0.3,C,0.95
7,0.5,Vp,0.12807916104793549,0.10392363369464874,0.7477338314056396,0.6067124009132385,0.6240136027336121,0.5063256025314331,0.3,C_bis,0.95
8,0.1,Vp,0.10943091660737991,0.14851000905036926,0.3582201898097992,0.48614493012428284,0.2929048240184784,0.39750465750694275,0.3,C_ter,0.95
9,0.6,Vp,0.13349023461341858,0.09998469799757004,0.8414855599403381,0.6302759051322937,0.7185295224189758,0.5381813645362854,0.3,C_four,0.95
10,0.0,Vp,0.07559359073638916,0.14918363094329834,0.24832765758037567,0.490073561668396,0.20078839361667633,0.3962550461292267,0.5,D,0.95
11,0.5,Vp,0.08520884066820145,0.11037171632051468,0.48698607087135315,0.6307970881462097,0.41228729486465454,0.5340391397476196,0.5,D_bis,0.95
12,0.0,Vp,0.049257732927799225,0.13264983892440796,0.2112652063369751,0.5689318776130676,0.17050613462924957,0.4591687321662903,1.0,full,0.95
