,time,LFP,area,dc_amplitude,N_repeat,run_pre_duration,dc_pulse_duration,run_post_duration,recover_time_min,recover_time_jitter_max,weights,mask_radius,kernel
0,2510.0,0.37449265,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
1,2520.0,0.042842865,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
2,2530.0,-0.10159683,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
3,2540.0,0.12459946,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
4,2550.0,0.21804047,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
5,2560.0,-0.02544403,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
6,2570.0,-0.13578415,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
7,2580.0,0.113536835,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
8,2590.0,0.1417923,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
9,2600.0,0.00825119,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
10,2610.0,-0.068092346,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
11,2620.0,0.049434662,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
12,2630.0,0.11135101,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
13,2640.0,0.06247711,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
14,2650.0,-0.05183792,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
15,2660.0,-0.15133286,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
16,2670.0,0.17895126,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
17,2680.0,0.068847656,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
18,2690.0,-0.00062561035,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
19,2700.0,-0.020824432,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
20,2710.0,-0.0029640198,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
21,2720.0,-0.06456375,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
22,2730.0,0.0072746277,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
23,2740.0,0.15208054,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
24,2750.0,0.2825203,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
25,2760.0,0.16163635,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
26,2770.0,-0.056404114,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
27,2780.0,0.014076233,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
28,2790.0,0.069503784,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
29,2800.0,-0.14946747,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
30,2810.0,-0.031009674,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
31,2820.0,0.22956848,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
32,2830.0,0.118434906,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
33,2840.0,0.13388062,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
34,2850.0,-0.008422852,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
35,2860.0,-0.26070023,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
36,2870.0,0.030666351,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
37,2880.0,0.30091476,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
38,2890.0,0.05766678,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
39,2900.0,-0.16443253,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
40,2910.0,0.0315094,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
41,2920.0,0.1316719,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
42,2930.0,0.07203674,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
43,2940.0,0.02010727,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
44,2950.0,0.028354645,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
45,2960.0,-0.022525787,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
46,2970.0,-0.05568695,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
47,2980.0,-0.022651672,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
48,2990.0,-0.06145096,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
49,3000.0,-0.1265564,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
50,3010.0,0.30407333,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
51,3020.0,0.17700958,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
52,3030.0,-0.038517,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
53,3040.0,-0.12033844,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
54,3050.0,0.10406113,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
55,3060.0,-0.031284332,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
56,3070.0,-0.14189911,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
57,3080.0,0.089977264,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
58,3090.0,0.20594788,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
59,3100.0,0.11810303,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
60,3110.0,0.0015296936,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
61,3120.0,0.068424225,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
62,3130.0,0.17690659,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
63,3140.0,0.15229416,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
64,3150.0,-0.038433075,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
65,3160.0,-0.059597015,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
66,3170.0,0.15572357,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
67,3180.0,-0.055534363,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
68,3190.0,-0.14319229,Vp,1.0,20,750.0,20.0,1500.0,1500,1500.0,1.0,40.0,0.5
